ID,Asset Class,Equipment Classification,Radio Number,Make,Model,Description,Meter Type,Service Life by Age in Years,Service Life by Meter,Units Needed,Total Mileage.amt,Total Mileage.unit,Total Work Hours.amt,Total Work Hours.unit,Year,Department,Average Purchase Cost,Attached to,SAP_ID,Purchase Date,Total Cost,Manufactured Date,In Service Date,Deactivation on,Out of service,Condition Category,Annual Meter Average,Meter Based RSL in Years,Meter Based RSL Percentage.amt,Meter Based RSL Percentage.unit,Meter Based Condition Category,Age Based RSL in Years,Age Based RSL Percentage.amt,Age Based RSL Percentage.unit,Age Based Condition Category,Annual MR Average,MR Based RSL in Years,MR Based RSL in Percentage.amt,MR Based RSL in Percentage.unit,MR Based Condition Category
M81752,227,TRUCK:VAN W/AERIAL LIFT,H-53,FORD,TRAN,2017 FORD 350 VAN,Miles,12,125000,23,172183,mi,1,hr,2017,E06,159000,M81752,9000005167,,48697.59,42736,43125,,No,Poor,,,-38,%,Poor,3.6,30,%,Fair,,,62,%,Good
M81751,227,TRUCK:VAN W/AERIAL LIFT,H-74,FORD,TRAN,2017 FORD 350 VAN,Miles,12,125000,23,84745,mi,0,hr,2017,E02,159000,M81751,9000005166,,32798.15,42736,43125,,No,Fair,,,32,%,Fair,3.6,30,%,Fair,,,74,%,Good
M81750,227,TRUCK:VAN W/AERIAL LIFT,H-32,FORD,TRAN,2017 FORD 350 VAN,Miles,12,125000,23,72910,mi,0,hr,2017,E02,159000,M81750,9000005165,,13970.82,42736,43125,,No,Fair,,,42,%,Good,3.6,30,%,Fair,,,89,%,Excellent
M81749,227,TRUCK:VAN W/AERIAL LIFT,C-30,FORD,TRAN,2017 FORD 350 VAN,Miles,12,125000,23,48516,mi,0,hr,2017,CRP,159000,M81749,9000005164,,18445.95,42736,43125,,No,Fair,,,61,%,Good,3.6,30,%,Fair,,,85,%,Excellent
M81748,227,TRUCK:VAN W/AERIAL LIFT,C-14,FORD,TRAN,2017 FORD 350 VAN,Miles,12,125000,23,66128,mi,0,hr,2017,CRP,159000,M81748,9000005163,,167030.1,42736,43125,,Yes,Poor,,,47,%,Good,3.6,30,%,Fair,,,-31,%,Poor
M81747,227,TRUCK:VAN W/AERIAL LIFT,H-37,FORD,TRAN,2017 FORD 350 VAN 1FDWE3F60HDC73187,Miles,12,125000,23,117086,mi,0,hr,2017,E02,159000,M81747,9000005162,,15059.71,42736,43125,,No,Fair,,,6,%,Fair,3.6,30,%,Fair,,,88,%,Excellent
M71633,227,TRUCK:VAN W/AERIAL LIFT,H-22,FORD,E350,'11 FORD E350 VAN,Miles,12,125000,23,125362,mi,0,hr,2011,E02,159000,M71633,9000001866,,57954.71,40544,40935,,No,Poor,,,0,%,Fair,-2.4,-20,%,Poor,,,54,%,Good
M71611,227,TRUCK:VAN W/AERIAL LIFT,H21,FORD,E350,Ford E350 Van w/lift 2011,Miles,12,125000,23,204655,mi,0,hr,2011,CAP,159000,M71611,9000001865,,57121.21,40544,40935,,No,Critical,,,-64,%,Critical,-2.4,-20,%,Poor,,,55,%,Good
M70683,227,TRUCK:VAN W/AERIAL LIFT,TR-11,FORD,E350,"Ford E350 Van, 2010",Miles,12,125000,23,189315,mi,0,hr,2010,CAP,159000,,9000001579,,64700.69,40179,40518,,No,Critical,,,-51,%,Critical,-3.4,-28,%,Poor,,,49,%,Good
M70682,227,TRUCK:VAN W/AERIAL LIFT,H-30,FORD,E350,"Ford E350 Van, 2010",Miles,12,125000,23,97626,mi,0,hr,2010,CAP,159000,M70682,9000001578,,17785.03,40179,40518,,No,Poor,,,22,%,Fair,-3.4,-28,%,Poor,,,86,%,Excellent
